Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4195747,33.688581314878896,0.69727665,1.400509451794076,1.400509451794076,0.69226253,0.017492043,0.00029835844,0.19945282,0.00049731875,1.0
20000,1.4225744,34.40780141843972,0.7568638,1.4688954334838171,1.4688954334838171,0.74158525,0.017995924,0.0002967186,0.19890621,0.0004946404,1.0
30000,1.4216295,33.78472222222222,0.77496785,1.2889722202542342,1.2889722202542342,0.299738,0.017105844,0.00029507437,0.19835812,0.00049195474,1.0
40000,1.419668,33.38831615120275,0.65951747,1.2730596867674815,1.2730596867674815,0.18573812,0.020653542,0.00029342985,0.19780993,0.0004892686,1.0
50000,1.4178345,34.2791519434629,0.6195585,1.3843015523976234,1.3843015523976234,0.24036488,0.015485969,0.00029096522,0.1969884,0.0004852432,1.0
60000,1.4161646,35.496350364963504,0.6830936,1.6224035516408455,1.6224035516408455,0.49664974,0.018358523,0.0002885014,0.19616716,0.00048121894,1.0
70000,1.4130623,34.989208633093526,0.66581327,1.4022130594193507,1.4022130594193507,0.34258866,0.017934613,0.00028686083,0.19562027,0.00047853938,1.0
80000,1.4099212,36.537593984962406,0.6868704,1.6332092159112592,1.6332092159112592,0.16718039,0.016931882,0.0002852166,0.1950722,0.00047585377,1.0
90000,1.408237,34.65836298932384,0.69924897,1.4627829626785902,1.4627829626785902,0.41669044,0.015051608,0.0002835766,0.19452552,0.0004731751,1.0
100000,1.4085,34.604982206405694,0.6693635,1.5630012049647943,1.5630012049647943,0.54882073,0.015579042,0.00028110994,0.1937033,0.00046914618,1.0
110000,1.4068772,35.16967509025271,0.76797,1.7467884098176276,1.7467884098176276,0.3942647,0.013997862,0.0002786428,0.19288091,0.00046511655,1.0
120000,1.4051825,36.870722433460074,0.70905983,1.5566353699043676,1.5566353699043676,0.3492195,0.018141966,0.00027700086,0.19233362,0.00046243457,1.0
